"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Environment Setup","","Verify dotnet working properly","0","0","8","0","0"
"Visual Regression Spike","","Verify match snapshot and not equal to first snapshot","0","0","2","0","0"
"Swag e-Commerce Website","","Log in and Log out","0","0","1","0","0"
"Allure Report Spike","","Links","0","0","2","0","0"
"API Spike","","Route intercept","0","0","1","0","0"
"Codegen to POM Spike","","Raw Capture","0","0","1","0","0"
"Allure Report Spike","","Attach Data","0","0","1","0","0"
"Codegen to POM Spike","","Add Workflow","0","0","1","0","0"
"Codegen to POM Spike","","Adding POM","0","0","1","0","0"
"Swag e-Commerce Website","","Buy a Red T-Shirt","0","0","1","0","0"
"API Spike","","Request context","0","0","1","0","0"
"Swag e-Commerce Website","","Buy a Red T-Shirt with Visual Regression","0","0","1","0","0"
"Allure Report Spike","","Epic","0","0","1","0","0"
"Allure Report Spike","","Story","0","0","1","0","0"
"Lighthouse Spike","","Sauce Demo Site","0","0","1","0","0"
"Allure Report Spike","","Labels","0","0","1","0","0"
"Allure Report Spike","","Ids","0","0","1","0","0"
"Allure Report Spike","","Attach Screenshot","0","0","1","0","0"
"Codegen to POM Spike","","Start New from existing","0","0","1","0","0"
"API Spike","","Request Get","0","0","1","0","0"
"Codegen to POM Spike","","Clean up pass","0","0","1","0","0"
"Visual Regression Spike","","Verify match snapshot","0","0","1","0","0"
"Lighthouse Spike","","Angular Site","0","0","1","0","0"
"Allure Report Spike","","Steps","0","0","2","0","0"
