"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 26 21:55:47 GMT 2022","Sat Nov 26 21:55:47 GMT 2022","6","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check CI",""
"passed","Sat Nov 26 21:56:39 GMT 2022","Sat Nov 26 21:56:40 GMT 2022","853","functional","src/tests/functional/screenshot.spec.ts","Tests for Visual Regression @visual","","","third screenshot",""
"passed","Sat Nov 26 21:56:41 GMT 2022","Sat Nov 26 21:56:43 GMT 2022","2109","e2e","src/tests/e2e/login-logout.spec.ts","Tests for Swag","","","Logging in and out with standard user",""
"passed","Sat Nov 26 21:56:38 GMT 2022","Sat Nov 26 21:56:39 GMT 2022","1421","functional","src/tests/functional/screenshot.spec.ts","Tests for Visual Regression @visual","","","second screenshot",""
"passed","Sat Nov 26 21:55:48 GMT 2022","Sat Nov 26 21:55:48 GMT 2022","405","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Links Usage basic test",""
"passed","Sat Nov 26 21:55:51 GMT 2022","Sat Nov 26 21:55:52 GMT 2022","1046","functional","src/tests/functional/api-example.spec.ts","Unit Tests for Playwright API Testing","","","intercept me",""
"passed","Sat Nov 26 21:55:52 GMT 2022","Sat Nov 26 21:55:55 GMT 2022","2752","functional","src/tests/functional/codegen-process.spec.ts","Codegen Process to POM @codegen","","","Codegen raw capture of ordering",""
"passed","Sat Nov 26 21:55:50 GMT 2022","Sat Nov 26 21:55:50 GMT 2022","380","functional","src/tests/functional/allure-reports.spec.ts","Unit Tests for Allure Reports","","","Attachments Usage basic test",""
"passed","Sat Nov 26 21:56:00 GMT 2022","Sat Nov 26 21:56:03 GMT 2022","2717","functional","src/tests/functional/codegen-process.spec.ts","Codegen Process to POM @codegen","","","Codegen Final Phase add Workflow",""
"passed","Sat Nov 26 21:55:46 GMT 2022","Sat Nov 26 21:55:46 GMT 2022","5","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default with override",""
"passed","Sat Nov 26 21:55:57 GMT 2022","Sat Nov 26 21:56:00 GMT 2022","2406","functional","src/tests/functional/codegen-process.spec.ts","Codegen Process to POM @codegen","","","Codegen Phase 2 add POM",""
"passed","Sat Nov 26 21:56:43 GMT 2022","Sat Nov 26 21:56:46 GMT 2022","2859","e2e","src/tests/e2e/order.spec.ts","Tests for Swag","","","Order from the inventory and check out",""
"passed","Sat Nov 26 21:55:46 GMT 2022","Sat Nov 26 21:55:47 GMT 2022","7","unit","src/tests/unit/dotenv.spec.ts","Environment Configuration","","","Check Setup Environment Default with environment and override",""
"passed","Sat Nov 26 21:55:51 GMT 2022","Sat Nov 26 21:55:51 GMT 2022","42","functional","src/tests/functional/api-example.spec.ts","Unit Tests for Playwright API Testing","","","passing context api test",""
"passed","Sat Nov 26 21:56:46 GMT 2022","Sat Nov 26 21:56:50 GMT 2022","4216","e2e","src/tests/e2e/order.spec.ts","Tests for Swag","","","Order from the inventory and check out with visual regression @visual",""
